Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wVDWtLKXunswWecARNILj,SOLO,SOLO,JENNIE,11/12/2018,169566,69,FALSE,dxgbydtxj4ernrimisfdo7p0h,2022-12-01T05:13:19Z,k-pop,"YG Entertainment, distributed through Interscope Records",0.751,0.642,3,-5.165,0,0.087,0.0861,0,0.0953,0.388,95.045,4
spotify:track:4ZxOuNHhpyOj4gv52MtQpT,As If It's Your Last,As If It's Your Last,BLACKPINK,6/22/2017,213264,77,FALSE,dxgbydtxj4ernrimisfdo7p0h,2022-12-01T05:13:24Z,k-pop,YG Entertainment,0.786,0.852,8,-2.687,1,0.0813,0.0687,0,0.0759,0.455,125.036,4
spotify:track:1HsSIPLTQT354yJcQGfEY3,Good Boy Gone Bad,minisode 2: Thursday's Child,TOMORROW X TOGETHER,5/9/2022,191038,65,FALSE,dxgbydtxj4ernrimisfdo7p0h,2022-12-01T05:13:50Z,k-pop,Republic Records - TXT,0.475,0.695,1,-5.919,1,0.102,0.0159,0,0.125,0.552,100.009,4
spotify:track:04CHEoMbrLOiX8co3EG5dO,Thursday's Child Has Far To Go,minisode 2: Thursday's Child,TOMORROW X TOGETHER,5/9/2022,211399,58,FALSE,dxgbydtxj4ernrimisfdo7p0h,2022-12-01T05:13:53Z,k-pop,Republic Records - TXT,0.631,0.762,11,-4.208,1,0.105,0.049,0,0.0926,0.668,167.14,4
spotify:track:5elW2CKSoqjYoJ32AGDxf1,Polaroid Love,DIMENSION : ANSWER,ENHYPEN,1/10/2022,184601,71,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-01-15T16:19:51Z,k-pop,BELIFT LAB,0.738,0.67,7,-3.766,0,0.0439,0.458,0,0.361,0.651,138.055,4
spotify:track:5YMXGBD6vcYP7IolemyLtK,Euphoria,Love Yourself 結 'Answer',BTS,8/24/2018,228615,72,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-01-15T16:19:56Z,k-pop,BIGHIT MUSIC,0.637,0.799,2,-4.518,1,0.0338,0.394,0,0.0921,0.57,104.996,4
spotify:track:37ZtpRBkHcaq6hHy0X98zn,I CAN'T STOP ME,Eyes Wide Open,TWICE,10/26/2020,205493,74,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-01-27T05:19:38Z,k-pop,Republic Records - TWICE,0.657,0.88,10,-3.672,0,0.102,0.121,0,0.463,0.769,150.084,4
spotify:track:1XnpzbOGptRwfJhZgLbmSr,Pretty Savage,THE ALBUM,BLACKPINK,10/2/2020,201122,72,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-01-27T05:19:44Z,k-pop,YG Entertainment/Interscope Records,0.701,0.556,9,-7.42,0,0.0414,0.00886,0.000122,0.106,0.333,152.045,4
spotify:track:308Ir17KlNdlrbVLHWhlLe,The Feels,Formula of Love: O+T=<3,TWICE,11/12/2021,198053,74,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-01-27T05:19:49Z,k-pop,Republic Records - TWICE,0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,4
spotify:track:3dbLT62Cvs46Ju7a8gpr36,Savage,Savage - The 1st Mini Album,aespa,10/5/2021,238143,66,FALSE,dxgbydtxj4ernrimisfdo7p0h,2023-01-27T05:19:56Z,k-pop,SM Entertainment,0.727,0.879,9,-1.167,1,0.129,0.124,0.0000117,0.244,0.671,146.959,4
